milestone_id,project_id,milestone_name,target_date,is_critical_path
1,1,Phase 1 Review,2025-12-25,False
2,1,Phase 2 Review,2026-02-23,False
3,1,Phase 3 Review,2026-04-24,True
4,2,Phase 1 Review,2026-01-04,False
5,2,Phase 2 Review,2026-03-05,False
6,2,Phase 3 Review,2026-05-04,True
7,3,Phase 1 Review,2025-07-14,False
8,3,Phase 2 Review,2025-09-12,False
9,3,Phase 3 Review,2025-11-11,True
10,4,Phase 1 Review,2025-09-14,False
11,4,Phase 2 Review,2025-11-13,False
12,4,Phase 3 Review,2026-01-12,True
13,5,Phase 1 Review,2025-09-13,False
14,5,Phase 2 Review,2025-11-12,False
15,5,Phase 3 Review,2026-01-11,True
16,6,Phase 1 Review,2026-01-21,False
17,6,Phase 2 Review,2026-03-22,False
18,6,Phase 3 Review,2026-05-21,True
19,7,Phase 1 Review,2025-07-14,False
20,7,Phase 2 Review,2025-09-12,False
21,7,Phase 3 Review,2025-11-11,True
22,8,Phase 1 Review,2025-11-07,False
23,8,Phase 2 Review,2026-01-06,False
24,8,Phase 3 Review,2026-03-07,True
25,9,Phase 1 Review,2025-05-30,False
26,9,Phase 2 Review,2025-07-29,False
27,9,Phase 3 Review,2025-09-27,True
28,10,Phase 1 Review,2025-07-01,False
29,10,Phase 2 Review,2025-08-30,False
30,10,Phase 3 Review,2025-10-29,True
