log_id,task_id,engineer_id,log_date,hours_spent
1,1,26,2025-10-07,4.05
2,1,26,2025-10-08,4.99
3,1,26,2025-10-10,4.99
4,1,26,2025-10-12,6.22
5,1,26,2025-10-14,1.71
6,1,26,2025-10-16,1.61
7,1,26,2025-10-18,3.66
8,1,26,2025-10-19,1.45
9,1,26,2025-10-21,4.39
10,1,26,2025-10-24,3.41
11,1,26,2025-10-27,4.53
12,1,26,2025-10-28,2.69
13,1,26,2025-10-30,5.64
14,1,26,2025-10-31,2.75
15,1,26,2025-11-02,3.91
16,3,14,2025-08-17,5.57
17,3,14,2025-08-18,6.76
18,3,14,2025-08-21,5.42
19,3,14,2025-08-22,3.52
20,3,14,2025-08-25,1.32
21,3,14,2025-08-26,5.86
22,3,14,2025-08-28,4.75
23,4,33,2025-11-15,5.58
24,4,33,2025-11-17,4.32
25,4,33,2025-11-19,3.01
26,4,33,2025-11-22,1.84
27,5,25,2025-05-18,1.4
28,5,25,2025-05-21,6.01
29,5,25,2025-05-22,5.99
30,6,1,2025-10-06,6.13
31,6,1,2025-10-09,3.95
32,6,1,2025-10-12,2.51
33,6,1,2025-10-15,6.41
34,6,1,2025-10-17,4.52
35,6,1,2025-10-20,3.51
36,6,1,2025-10-23,1.14
37,7,7,2025-08-11,1.24
38,7,7,2025-08-14,3.1
39,7,7,2025-08-15,5.41
40,7,7,2025-08-16,2.15
41,7,7,2025-08-19,3.02
42,7,7,2025-08-20,3.27
43,7,7,2025-08-23,6.36
44,7,7,2025-08-25,6.01
45,7,7,2025-08-26,0.16
46,8,35,2025-08-08,1.16
47,8,35,2025-08-11,3.89
48,8,35,2025-08-13,5.66
49,8,35,2025-08-16,1.46
50,10,48,2025-05-28,1.37
51,10,48,2025-05-30,2.17
52,10,48,2025-06-02,4.07
53,10,48,2025-06-05,3.74
54,10,48,2025-06-08,3.61
55,11,39,2025-11-07,3.83
56,11,39,2025-11-08,4.57
57,11,39,2025-11-11,1.87
58,12,23,2025-05-31,2.94
59,12,23,2025-06-02,4.32
60,12,23,2025-06-03,4.39
61,12,23,2025-06-05,4.11
62,12,23,2025-06-07,6.2
63,12,23,2025-06-08,6.44
64,12,23,2025-06-10,5.67
65,12,23,2025-06-11,5.88
66,12,23,2025-06-13,5.53
67,12,23,2025-06-14,3.4
68,12,23,2025-06-16,1.04
69,12,23,2025-06-17,4.89
70,12,23,2025-06-19,2.19
71,12,23,2025-06-20,6.84
72,12,23,2025-06-21,1.62
73,14,4,2025-11-12,4.18
74,14,4,2025-11-13,3.81
75,14,4,2025-11-16,4.99
76,14,4,2025-11-18,4.44
77,14,4,2025-11-19,2.23
78,15,9,2025-08-06,5.43
79,15,9,2025-08-09,4.27
80,15,9,2025-08-10,3.2
81,15,9,2025-08-12,5.54
82,15,9,2025-08-13,6.07
83,15,9,2025-08-16,0.57
84,16,26,2025-08-08,6.83
85,16,26,2025-08-11,3.85
86,16,26,2025-08-14,3.6
87,16,26,2025-08-15,2.31
88,16,26,2025-08-17,3.74
89,16,26,2025-08-18,3.49
90,16,26,2025-08-20,1.93
91,16,26,2025-08-22,3.8
